#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)","Time Remaining"
1000,0.0,103045.81869139333,103045.81869139333,344.265646981101,7999.999999999996,0,--
2000,0.0,123763.19000691533,123763.19000691533,413.48028693700235,7999.999999999996,1.62e+03,0:33
3000,0.0,129250.35085010804,129250.35085010804,431.81233574558615,7999.999999999996,1.72e+03,0:30
4000,0.0,130928.07784459734,130928.07784459734,437.4174517663079,7999.999999999996,1.77e+03,0:29
5000,0.0,131501.16898640993,131501.16898640993,439.3320912463058,7999.999999999996,1.8e+03,0:28
6000,0.0,131767.49047897622,131767.49047897622,440.22184438823473,7999.999999999996,1.82e+03,0:28
7000,0.0,131954.45863071588,131954.45863071588,440.8464860528935,7999.999999999996,1.84e+03,0:27
8000,0.0,132017.01276333904,132017.01276333904,441.0554730764558,7999.999999999996,1.85e+03,0:27
9000,0.0,132055.43650073212,132055.43650073212,441.18384289272825,7999.999999999996,1.86e+03,0:26
10000,0.0,132078.68102859386,132078.68102859386,441.2615005068335,7999.999999999996,1.87e+03,0:26
11000,0.0,132100.79892132446,132100.79892132446,441.335394147036,7999.999999999996,1.88e+03,0:25
12000,0.0,132108.72154405664,132108.72154405664,441.36186282742807,7999.999999999996,1.89e+03,0:25
13000,0.0,132114.04050883884,132114.04050883884,441.37963295022655,7999.999999999996,1.89e+03,0:25
14000,0.0,132116.55744648218,132116.55744648218,441.388041784056,7999.999999999996,1.9e+03,0:24
15000,0.0,132121.99250457354,132121.99250457354,441.4061997628461,7999.999999999996,1.9e+03,0:24
16000,0.0,132132.84182634266,132132.84182634266,441.44244624839575,7999.999999999996,1.9e+03,0:24
17000,0.0,132134.79425060548,132134.79425060548,441.4489691001772,7999.999999999996,1.91e+03,0:23
18000,0.0,132135.38245040367,132135.38245040367,441.45093421614837,7999.999999999996,1.91e+03,0:23
19000,0.0,132136.799051799,132136.799051799,441.455666937981,7999.999999999996,1.91e+03,0:23
20000,0.0,132137.32713142384,132137.32713142384,441.4574311985401,7999.999999999996,1.91e+03,0:22
21000,0.0,132137.46757546716,132137.46757546716,441.4579004078691,7999.999999999996,1.91e+03,0:22
22000,0.0,132150.2791345367,132150.2791345367,441.5007025295652,7999.999999999996,1.92e+03,0:22
23000,0.0,132150.2791345367,132150.2791345367,441.5007025295652,7999.999999999996,1.92e+03,0:21
24000,0.0,132150.29500497255,132150.29500497255,441.5007555510846,7999.999999999996,1.92e+03,0:21
25000,0.0,132150.29737454615,132150.29737454615,441.50076346759005,7999.999999999996,1.92e+03,0:21
26000,0.0,132150.29128496416,132150.29128496416,441.5007431229132,7999.999999999996,1.92e+03,0:21
27000,0.0,132150.3133582682,132150.3133582682,441.5008168675871,7999.999999999996,1.92e+03,0:20
28000,0.0,132150.31335826818,132150.31335826818,441.50081686758705,7999.999999999996,1.92e+03,0:20
29000,0.0,132150.31335826815,132150.31335826815,441.50081686758693,7999.999999999996,1.92e+03,0:20
30000,0.0,132150.3133582682,132150.3133582682,441.5008168675871,7999.999999999996,1.92e+03,0:19
31000,0.0,132150.3133582682,132150.3133582682,441.5008168675871,7999.999999999996,1.93e+03,0:19
32000,0.0,132154.47804105745,132154.47804105745,441.5147306511168,7999.999999999996,1.93e+03,0:19
33000,0.0,132154.47804105745,132154.47804105745,441.5147306511168,7999.999999999996,1.93e+03,0:19
34000,0.0,132154.47804105745,132154.47804105745,441.5147306511168,7999.999999999996,1.93e+03,0:18
35000,0.0,132154.47804105745,132154.47804105745,441.5147306511168,7999.999999999996,1.93e+03,0:18
36000,0.0,132154.48131642857,132154.48131642857,441.5147415938001,7999.999999999996,1.93e+03,0:18
37000,0.0,132154.48131642857,132154.48131642857,441.5147415938001,7999.999999999996,1.93e+03,0:17
38000,0.0,132154.48131642854,132154.48131642854,441.5147415938,7999.999999999996,1.93e+03,0:17
39000,0.0,132154.48131642857,132154.48131642857,441.5147415938001,7999.999999999996,1.93e+03,0:17
40000,0.0,132154.48131642854,132154.48131642854,441.5147415938,7999.999999999996,1.93e+03,0:16
41000,0.0,132154.48131642857,132154.48131642857,441.5147415938001,7999.999999999996,1.93e+03,0:16
42000,0.0,132154.48131642854,132154.48131642854,441.5147415938,7999.999999999996,1.93e+03,0:16
43000,0.0,132154.48131642854,132154.48131642854,441.5147415938,7999.999999999996,1.93e+03,0:16
44000,0.0,132154.48131642852,132154.48131642852,441.5147415937999,7999.999999999996,1.93e+03,0:15
45000,0.0,132154.48131642854,132154.48131642854,441.5147415938,7999.999999999996,1.93e+03,0:15
46000,0.0,132154.48145651314,132154.48145651314,441.5147420618084,7999.999999999996,1.93e+03,0:15
47000,0.0,132156.45220399805,132156.45220399805,441.5213261296197,7999.999999999996,1.93e+03,0:15
48000,0.0,132156.45220399802,132156.45220399802,441.5213261296196,7999.999999999996,1.93e+03,0:14
49000,0.0,132156.45220399805,132156.45220399805,441.5213261296197,7999.999999999996,1.93e+03,0:14
50000,0.0,132156.45220399805,132156.45220399805,441.5213261296197,7999.999999999996,1.93e+03,0:14
51000,0.0,132156.45220399808,132156.45220399808,441.5213261296198,7999.999999999996,1.93e+03,0:13
52000,0.0,132156.45220399805,132156.45220399805,441.5213261296197,7999.999999999996,1.93e+03,0:13
53000,0.0,132156.45220399808,132156.45220399808,441.5213261296198,7999.999999999996,1.93e+03,0:13
54000,0.0,132156.45220399805,132156.45220399805,441.5213261296197,7999.999999999996,1.93e+03,0:13
55000,0.0,132156.45220399808,132156.45220399808,441.5213261296198,7999.999999999996,1.93e+03,0:12
56000,0.0,132156.45220399805,132156.45220399805,441.5213261296197,7999.999999999996,1.93e+03,0:12
57000,0.0,132156.45220399808,132156.45220399808,441.5213261296198,7999.999999999996,1.93e+03,0:12
58000,0.0,132156.45220399808,132156.45220399808,441.5213261296198,7999.999999999996,1.93e+03,0:11
59000,0.0,132156.45220399808,132156.45220399808,441.5213261296198,7999.999999999996,1.93e+03,0:11
60000,0.0,132156.45220399808,132156.45220399808,441.5213261296198,7999.999999999996,1.93e+03,0:11
61000,0.0,132156.45220399805,132156.45220399805,441.5213261296197,7999.999999999996,1.93e+03,0:11
62000,0.0,132156.45220399805,132156.45220399805,441.5213261296197,7999.999999999996,1.93e+03,0:10
63000,0.0,132156.45220399805,132156.45220399805,441.5213261296197,7999.999999999996,1.93e+03,0:10
64000,0.0,132156.45220399805,132156.45220399805,441.5213261296197,7999.999999999996,1.93e+03,0:10
65000,0.0,132156.45220399805,132156.45220399805,441.5213261296197,7999.999999999996,1.93e+03,0:09
66000,0.0,132156.45220399805,132156.45220399805,441.5213261296197,7999.999999999996,1.93e+03,0:09
67000,0.0,132156.45220399805,132156.45220399805,441.5213261296197,7999.999999999996,1.93e+03,0:09
68000,0.0,132156.45220399802,132156.45220399802,441.5213261296196,7999.999999999996,1.93e+03,0:09
69000,0.0,132156.45220399802,132156.45220399802,441.5213261296196,7999.999999999996,1.93e+03,0:08
70000,0.0,132156.45220399805,132156.45220399805,441.5213261296197,7999.999999999996,1.93e+03,0:08
71000,0.0,132156.45220399802,132156.45220399802,441.5213261296196,7999.999999999996,1.93e+03,0:08
72000,0.0,132156.45220399802,132156.45220399802,441.5213261296196,7999.999999999996,1.93e+03,0:07
73000,0.0,132156.45220399802,132156.45220399802,441.5213261296196,7999.999999999996,1.93e+03,0:07
74000,0.0,132156.45220399805,132156.45220399805,441.5213261296197,7999.999999999996,1.93e+03,0:07
75000,0.0,132156.45220399805,132156.45220399805,441.5213261296197,7999.999999999996,1.93e+03,0:07
76000,0.0,132156.45220399805,132156.45220399805,441.5213261296197,7999.999999999996,1.93e+03,0:06
77000,0.0,132156.45220399805,132156.45220399805,441.5213261296197,7999.999999999996,1.93e+03,0:06
78000,0.0,132156.45220399802,132156.45220399802,441.5213261296196,7999.999999999996,1.93e+03,0:06
79000,0.0,132156.45220399802,132156.45220399802,441.5213261296196,7999.999999999996,1.93e+03,0:05
80000,0.0,132156.45220399802,132156.45220399802,441.5213261296196,7999.999999999996,1.93e+03,0:05
